DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
05/03/2012;13:15:01;38;6738.86;6735.86;6735.8;6739.77
05/03/2012;13:16:01;36;6735.74;6737.89;6735.42;6738.05
05/03/2012;13:17:01;31;6738;6738.83;6737.28;6738.83
05/03/2012;13:18:01;31;6738.97;6735.94;6735.94;6739.19
05/03/2012;13:19:01;44;6735.98;6731.12;6730.97;6735.98
05/03/2012;13:20:01;45;6731.17;6729.95;6729.85;6732.05
05/03/2012;13:21:01;39;6729.88;6730.07;6727.96;6731.03
05/03/2012;13:22:01;37;6730.28;6733.78;6730.28;6734.73
05/03/2012;13:23:01;32;6733.95;6733.87;6733.16;6734.18
05/03/2012;13:24:01;39;6734.32;6730.52;6729.07;6734.49
05/03/2012;13:25:01;39;6730.35;6729.48;6728.59;6730.65
05/03/2012;13:26:01;34;6729.41;6729.85;6729.04;6730.33
05/03/2012;13:27:01;36;6729.66;6725.94;6725.33;6729.88
05/03/2012;13:28:01;37;6725.86;6719.16;6719.16;6725.86
05/03/2012;13:29:01;33;6719.05;6717.63;6717.49;6720.12
05/03/2012;13:30:01;22;6717.87;6721.13;6717.87;6722.01
05/03/2012;13:31:01;26;6721;6721.18;6721;6724.96
05/03/2012;13:32:01;34;6720.37;6723.56;6719.74;6723.68
05/03/2012;13:33:01;48;6722.65;6718.31;6713.61;6722.65
05/03/2012;13:34:01;36;6718.73;6721.98;6718.73;6722.6
05/03/2012;13:35:01;19;6721.95;6714.21;6714.12;6721.95
05/03/2012;13:36:01;27;6714.25;6705.59;6705.44;6714.72
05/03/2012;13:37:01;26;6706.09;6711.18;6705.35;6711.81
05/03/2012;13:38:01;24;6710.85;6716.18;6710.82;6716.21
05/03/2012;13:39:01;23;6716.04;6718.99;6715.71;6718.99
05/03/2012;13:40:01;34;6720.14;6725.26;6719.9;6725.26
05/03/2012;13:41:01;27;6724.88;6725.95;6723.45;6725.95
05/03/2012;13:42:01;38;6726.14;6728.6;6725.84;6728.76
05/03/2012;13:43:01;37;6727.87;6728.08;6726.29;6728.29
05/03/2012;13:44:01;29;6728.28;6729.28;6725.47;6729.3
05/03/2012;13:45:01;22;6729;6730.52;6728.91;6732.55
05/03/2012;13:46:01;15;6730.31;6731.71;6729.16;6731.98
05/03/2012;13:47:01;16;6731.3;6728.59;6728.59;6731.64
05/03/2012;13:48:01;29;6728.79;6728.47;6728.29;6733.27
05/03/2012;13:49:01;34;6728.3;6732.89;6727.12;6732.89
05/03/2012;13:50:01;46;6733.06;6732.09;6731.48;6733.57
05/03/2012;13:51:01;47;6732;6731.67;6731.4;6733.1
05/03/2012;13:52:01;42;6731.77;6736.06;6731.74;6736.06
05/03/2012;13:53:01;36;6735.67;6732.01;6731.9;6735.71
05/03/2012;13:54:01;39;6732.06;6730.15;6730.11;6734.02
05/03/2012;13:55:01;40;6730;6730.21;6729.59;6731.98
05/03/2012;13:56:01;46;6730.23;6729.2;6729.12;6731.94
05/03/2012;13:57:01;38;6729.4;6728.38;6728.38;6733.24
05/03/2012;13:58:01;28;6728.09;6729.36;6725.45;6729.36
05/03/2012;13:59:01;25;6728.61;6725.51;6723.06;6729.03
05/03/2012;14:00:01;18;6725.49;6704.13;6704.13;6725.49
05/03/2012;14:01:01;19;6702.86;6707.43;6702.86;6709.44
05/03/2012;14:02:01;25;6706.8;6695.58;6694.45;6706.8
05/03/2012;14:03:01;18;6696.27;6698.24;6693.38;6698.24
05/03/2012;14:04:01;26;6697.65;6701.9;6696.42;6703.73
05/03/2012;14:05:01;17;6700.49;6695.16;6695.16;6700.49
05/03/2012;14:06:01;15;6695.21;6686.43;6686.43;6695.21
05/03/2012;14:07:01;26;6684.42;6687.6;6683.17;6687.6
05/03/2012;14:08:01;28;6687.96;6689.23;6686.18;6689.65
05/03/2012;14:09:01;29;6689.97;6692.29;6689.97;6692.29
05/03/2012;14:10:01;27;6692.43;6693.41;6691.74;6693.79
05/03/2012;14:11:01;33;6695.02;6691.78;6691.48;6697.04
05/03/2012;14:12:01;33;6689.77;6684.17;6684.17;6690.68
05/03/2012;14:13:01;42;6684.22;6684.41;6682.74;6686.87
05/03/2012;14:14:01;23;6684.66;6682.69;6680.65;6684.66
05/03/2012;14:15:01;43;6682.56;6671.46;6670.93;6682.56
05/03/2012;14:16:01;27;6671.5;6673.34;6671.5;6676.1
05/03/2012;14:17:01;37;6672.84;6675.55;6670.13;6675.94
05/03/2012;14:18:01;35;6675.12;6665.74;6664.45;6675.51
05/03/2012;14:19:01;31;6665.31;6662.84;6661.67;6665.45
05/03/2012;14:20:01;36;6664.1;6657.9;6657.9;6664.22
05/03/2012;14:21:01;30;6657.97;6653.47;6649.54;6657.97
05/03/2012;14:22:01;25;6653.73;6653.03;6648.84;6653.99
